dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,lgals3,0.3393814069733888,0.7729990193978077
Breast Visium CID44971,novosparc,cdh1,0.3392039923318394,0.6325994990503828
Breast Visium CID44971,novosparc,timp2,0.3349939187900684,0.5798168492044657
Breast Visium CID44971,novosparc,ctsz,0.331900240606542,0.6125588657431372
Breast Visium CID44971,novosparc,gng5,0.3303520843314935,0.8821403525690317
Breast Visium CID44971,novosparc,itgb2,0.3284118497229891,0.6922973398656135
Breast Visium CID44971,novosparc,cdh11,0.3268095111243672,0.4395275551019687
Breast Visium CID44971,novosparc,ccl14,0.3251370129812832,0.3438071830492157
Breast Visium CID44971,novosparc,serpina1,0.3248801818104909,0.5262995728444357
Breast Visium CID44971,novosparc,lyn,0.3228831567340885,0.4822240441700877
Breast Visium CID44971,novosparc,mylk,0.3219009913192263,0.524008520500886
Breast Visium CID44971,novosparc,rpl7,0.3202588203418675,0.9759014707707873
Breast Visium CID44971,novosparc,fkbp4,0.3198082424384644,0.7325636919554764
Breast Visium CID44971,novosparc,id3,0.3181358691546501,0.5514141363162903
Breast Visium CID44971,novosparc,capg,0.3109865821699569,0.7429627171488726
Breast Visium CID44971,novosparc,mif,0.3020449796249634,0.8547874058511638
Breast Visium CID44971,novosparc,phb2,0.3004928837851772,0.8722168992878812
Breast Visium CID44971,novosparc,cd63,0.2934548703244752,0.9046332077418426
Breast Visium CID44971,novosparc,gnai2,0.2932591793064404,0.7867508454160919
Breast Visium CID44971,novosparc,ndufv2,0.291153197265901,0.7919442217449495
